,y_label,y_pred
0,square,square
1,square,square
2,square,square
3,square,triangle
4,square,triangle
5,square,square
6,square,square
7,square,square
8,square,bar
9,square,square
10,square,square
11,square,triangle
12,square,triangle
13,square,bar
14,square,square
15,square,square
16,square,square
17,square,square
18,square,triangle
19,square,square
20,square,square
21,square,triangle
22,square,bar
23,square,square
24,square,square
25,square,square
26,square,triangle
27,square,triangle
28,square,triangle
29,square,triangle
30,square,square
31,square,triangle
32,square,triangle
33,square,square
34,square,square
35,square,square
36,square,bar
37,square,square
38,square,square
39,square,triangle
40,square,triangle
41,square,square
42,square,square
43,square,triangle
44,square,square
45,square,square
46,square,square
47,square,triangle
48,square,square
49,square,triangle
50,square,triangle
51,square,square
52,square,triangle
53,square,square
54,square,triangle
55,square,triangle
56,square,bar
57,square,square
58,square,triangle
59,square,triangle
60,square,bar
61,square,triangle
62,square,bar
63,square,triangle
64,square,square
65,square,square
66,square,square
67,square,square
68,square,triangle
69,triangle,triangle
70,triangle,bar
71,triangle,square
72,triangle,triangle
73,triangle,triangle
74,triangle,triangle
75,triangle,bar
76,triangle,triangle
77,triangle,triangle
78,triangle,triangle
79,triangle,bar
80,triangle,triangle
81,triangle,square
82,triangle,triangle
83,triangle,triangle
84,triangle,triangle
85,triangle,triangle
86,triangle,triangle
87,triangle,square
88,triangle,bar
89,triangle,triangle
90,triangle,bar
91,triangle,bar
92,triangle,triangle
93,triangle,bar
94,triangle,triangle
95,triangle,triangle
96,triangle,square
97,triangle,triangle
98,triangle,triangle
99,triangle,triangle
100,triangle,bar
101,triangle,square
102,triangle,triangle
103,triangle,bar
104,triangle,square
105,triangle,triangle
106,triangle,triangle
107,triangle,triangle
108,triangle,triangle
109,triangle,bar
110,triangle,triangle
111,triangle,bar
112,triangle,square
113,triangle,triangle
114,triangle,triangle
115,triangle,bar
116,triangle,triangle
117,triangle,bar
118,triangle,square
119,triangle,triangle
120,triangle,triangle
121,triangle,bar
122,triangle,bar
123,triangle,bar
124,triangle,bar
125,triangle,triangle
126,triangle,bar
127,triangle,triangle
128,triangle,triangle
129,bar,bar
130,bar,bar
131,bar,bar
132,bar,bar
133,bar,bar
134,bar,bar
135,bar,bar
136,bar,bar
137,bar,bar
138,bar,bar
139,bar,bar
140,bar,bar
141,bar,bar
142,bar,bar
143,bar,bar
144,bar,bar
145,bar,bar
146,bar,bar
147,bar,bar
148,bar,bar
149,bar,bar
150,bar,bar
151,bar,bar
152,bar,bar
153,bar,bar
154,bar,bar
155,bar,bar
156,bar,bar
157,bar,bar
158,bar,bar
159,bar,bar
160,bar,bar
161,bar,bar
162,bar,bar
163,bar,bar
164,bar,bar
165,bar,bar
166,bar,bar
167,bar,bar
168,bar,bar
169,bar,bar
170,bar,bar
171,bar,bar
172,bar,bar
173,bar,bar
174,bar,bar
175,bar,bar
176,bar,bar
177,bar,bar
178,bar,bar
179,bar,bar
180,bar,bar
181,bar,bar
182,bar,bar
183,bar,bar
184,bar,bar
185,bar,bar
186,bar,bar
187,bar,bar
188,bar,bar
189,bar,triangle
190,bar,triangle
191,bar,bar
192,bar,bar
193,bar,bar
194,bar,bar
195,bar,bar
196,bar,bar
197,bar,bar
198,bar,bar
199,bar,bar
200,bar,bar
201,bar,bar
202,bar,bar
203,bar,bar
204,bar,bar
205,bar,bar
206,bar,bar
207,bar,bar
208,bar,bar
209,bar,bar
210,bar,bar
211,bar,bar
212,bar,bar
213,bar,bar
214,bar,bar
215,bar,bar
216,bar,bar
217,bar,bar
218,bar,bar
219,bar,triangle
220,bar,bar
221,bar,bar
222,bar,bar
223,bar,bar
224,bar,bar
225,bar,bar
226,bar,bar
227,bar,bar
228,bar,bar
229,bar,bar
230,bar,bar
231,bar,bar
232,bar,bar
233,bar,bar
234,bar,bar
235,bar,bar
236,bar,bar
