491,1
492,2
493,5
494,5
495,2
496,4
497,4
498,6
499,8
500,8
501,14
502,4
503,10
504,4
505,5
506,6
507,5
508,5
509,4
510,6
511,3
512,10
513,3
514,12
515,3
516,5
517,6
518,6
519,4
520,8
521,4
522,6
523,10
524,4
525,3
526,6
527,3
528,1
529,2
530,3
531,4
532,7
533,3
534,6
535,2
536,5
537,3
538,5
539,1
540,6
541,5
542,5
543,4
544,2
545,3
546,3
547,4
548,1
549,1
550,3
551,2
553,3
555,3
556,1
557,1
558,2
560,2
561,2
562,2
563,3
564,2
565,3
567,4
570,2
571,4
572,2
573,3
576,1
579,1
580,1
581,1
583,2
584,1
587,1
694,1
703,1
711,1
713,1
714,3
715,1
716,1
717,2
718,1
719,1
721,1
723,1
724,1
725,2
726,2
727,2
728,1
729,5
730,2
731,2
732,2
733,4
735,1
736,1
737,2
738,5
739,4
740,4
741,3
742,6
743,2
744,4
745,3
746,2
747,2
748,7
749,3
750,7
751,6
752,7
753,5
754,5
755,6
756,6
757,4
758,4
759,4
760,3
761,7
762,5
763,5
764,3
765,1
766,1
767,5
768,2
769,1
770,3
771,2
772,5
773,5
774,6
775,7
776,5
777,5
778,3
779,5
780,2
782,3
783,2
784,6
785,3
786,6
787,3
788,2
789,9
790,7
791,6
792,5
793,4
794,1
795,4
796,1
797,4
798,1
799,2
800,1
801,2
802,2
804,1
805,2
806,3
807,1
809,2
810,5
812,2
814,3
815,2
816,1
817,1
818,3
819,3
820,2
821,2
822,4
824,3
826,1
827,2
828,3
832,2
834,1
835,1
837,2
838,2
839,1
840,1
843,1
846,1
847,1
848,1
854,1
864,1
915,1
918,1
919,1
923,1
925,1
927,3
928,1
929,1
930,2
931,1
932,2
933,4
934,2
935,2
936,3
937,3
938,5
939,4
940,1
941,4
942,2
943,2
944,4
945,4
946,1
947,6
948,6
949,4
950,3
951,4
952,7
953,4
954,2
955,4
956,5
957,3
958,2
959,5
960,7
961,3
962,3
963,8
964,6
965,4
966,5
967,3
968,6
969,6
970,4
971,4
972,9
973,5
974,5
975,1
976,4
977,5
978,6
979,5
980,4
981,3
982,7
983,7
984,6
985,5
986,4
987,3
988,2
989,9
990,10
991,3
992,2
993,8
994,2
995,9
996,6
997,4
998,4
999,8
1000,7
1001,4
1002,2
1003,2
1004,7
1005,5
1006,6
1007,6
1008,2
1009,3
1010,5
1011,5
1012,5
1013,7
1014,5
1015,2
1016,3
1017,8
1018,2
1019,3
1020,2
1021,1
1022,4
1023,4
1024,2
1025,6
1026,2
1027,5
1028,2
1029,5
1030,5
1032,2
1034,6
1035,3
1036,3
1037,2
1038,3
1039,4
1040,5
1041,3
1042,5
1043,3
1044,2
1045,3
1046,3
1047,1
1048,3
1049,4
1050,2
1051,1
1052,1
1053,1
1054,2
1055,2
1056,1
1057,5
1059,2
1060,1
1061,2
1062,4
1063,2
1064,2
1065,1
1066,1
1067,4
1068,1
1069,6
1070,3
1072,1
1074,1
1076,2
1077,2
1079,1
1080,2
1081,2
1084,2
1085,5
1086,1
1087,3
1088,3
1089,1
1090,3
1091,1
1092,2
1093,1
1098,2
1099,1
1100,1
1101,2
1102,1
1103,3
1104,1
1105,1
1109,1
1113,1
1115,1
1116,1
1117,1
1150,1
1153,1
1169,1
1170,1
1177,1
1179,1
1183,1
1184,1
1186,1
1187,2
1192,1
1194,2
1195,1
1196,1
1198,2
1199,1
1201,2
1202,4
1203,3
1204,2
1205,3
1206,1
1207,3
1209,1
1210,1
1213,4
1214,2
1215,2
1216,1
1217,2
1218,3
1219,1
1220,2
1221,4
1222,3
1224,1
1225,1
1227,2
1229,3
1230,6
1231,1
1232,2
1233,4
1234,2
1235,2
1236,1
1237,2
1238,1
1239,3
1240,2
1241,6
1242,2
1243,6
1244,2
1245,4
1246,4
1248,1
1249,1
1250,5
1251,3
1252,3
1254,3
1255,2
1256,1
1257,4
1259,5
1260,2
1261,3
1262,1
1263,4
1264,2
1265,2
1266,2
1267,1
1268,1
1269,2
1270,1
1271,4
1272,4
1275,3
1276,2
1278,3
1279,1
1280,1
1281,2
1282,3
1283,4
1284,2
1286,3
1288,2
1289,3
1290,3
1292,2
1294,2
1297,2
1298,2
1299,1
1300,1
1301,1
1302,1
1303,1
1304,2
1305,1
1306,2
1308,1
1310,1
1312,1
1314,2
1315,1
1316,1
1319,1
1323,1
1325,1
1326,1
1328,1
1330,1
1338,1
1339,1
1341,2
1345,2
1348,1
1358,1
1359,1
1367,1
1368,2
1373,2
1378,1
1390,1
1391,1
1393,1
1406,2
1407,2
1410,1
1411,1
1412,1
1416,2
1417,3
1419,1
1422,1
1423,1
1424,1
1426,1
1427,1
1428,1
1431,1
1432,1
1433,2
1434,3
1435,1
1436,1
1437,1
1440,1
1442,1
1445,3
1446,1
1449,1
1451,2
1453,1
1454,1
1457,1
1458,1
1461,1
1462,1
1463,1
1467,1
1468,2
1470,1
1472,2
1473,1
1483,1
1486,1
1488,1
1489,1
1496,1
1500,1
1504,1
1521,1
